county,weather_zone
Anderson,EAST
Andrews,FAR WEST
Angelina,EAST
Aransas,SOUTH
Archer,NORTH
Atascosa,SOUTH
Austin,SOUTH CENTRAL
Bandera,SOUTH CENTRAL
Bastrop,SOUTH CENTRAL
Baylor,NORTH
Bee,SOUTH
Bell,NORTH CENTRAL
Bexar,SOUTH CENTRAL
Blanco,SOUTH CENTRAL
Borden,FAR WEST
Bosque,NORTH CENTRAL
Brazoria,COAST
Brazos,EAST
Brewster,FAR WEST
Briscoe,NORTH
Brooks,SOUTH
Brown,NORTH CENTRAL
Burleson,SOUTH CENTRAL
Burnet,SOUTH CENTRAL
Caldwell,SOUTH CENTRAL
Calhoun,COAST
Callahan,NORTH CENTRAL
Cameron,SOUTH
Chambers,COAST
Cherokee,EAST
Childress,NORTH
Clay,NORTH
Coke,WEST
Coleman,WEST
Collin,NORTH CENTRAL
Colorado,SOUTH CENTRAL
Comal,SOUTH CENTRAL
Comanche,NORTH CENTRAL
Concho,WEST
Cooke,NORTH
Coryell,NORTH CENTRAL
Cottle,NORTH
Crane,FAR WEST
Crockett,FAR WEST
Crosby,NORTH
Culberson,FAR WEST
Dallas,NORTH CENTRAL
Dawson,FAR WEST
Delta,EAST
Denton,NORTH CENTRAL
DeWitt,SOUTH CENTRAL
Dickens,NORTH
Dimmit,SOUTH
Duval,SOUTH
Eastland,NORTH CENTRAL
Ector,FAR WEST
Edwards,WEST
Ellis,NORTH CENTRAL
Erath,NORTH CENTRAL
Falls,NORTH CENTRAL
Fannin,NORTH
Fayette,SOUTH CENTRAL
Fisher,WEST
Floyd,NORTH
Foard,NORTH
Fort Bend,COAST
Franklin,EAST
Freestone,EAST
Frio,SOUTH
Galveston,COAST
Garza,NORTH
Gillespie,WEST
Glasscock,FAR WEST
Goliad,SOUTH
Gonzales,SOUTH CENTRAL
Grayson,NORTH
Grimes,EAST
Guadalupe,SOUTH CENTRAL
Hall,NORTH
Hamilton,NORTH CENTRAL
Hardeman,NORTH
Harris,COAST
Haskell,NORTH
Hays,SOUTH CENTRAL
Henderson,EAST
Hidalgo,SOUTH
Hill,NORTH CENTRAL
Hood,NORTH CENTRAL
Hopkins,EAST
Houston,EAST
Howard,FAR WEST
Hunt,NORTH CENTRAL
Irion,WEST
Jack,NORTH CENTRAL
Jackson,COAST
Jeff Davis,FAR WEST
Jim Hogg,SOUTH
Jim Wells,SOUTH
Johnson,NORTH CENTRAL
Jones,WEST
Karnes,SOUTH CENTRAL
Kaufman,NORTH CENTRAL
Kendall,SOUTH CENTRAL
Kenedy,SOUTH
Kent,NORTH
Kerr,WEST
Kimble,WEST
King,NORTH
Kinney,WEST
Kleberg,SOUTH
Knox,NORTH
La Salle,SOUTH
Lamar,NORTH
Lampasas,WEST
Lavaca,SOUTH CENTRAL
Lee,SOUTH CENTRAL
Leon,EAST
Limestone,NORTH CENTRAL
Live Oak,SOUTH
Llano,WEST
Loving,FAR WEST
Madison,EAST
Martin,FAR WEST
Mason,WEST
Matagorda,COAST
Maverick,SOUTH
McCulloch,WEST
McLennan,NORTH CENTRAL
McMullen,SOUTH
Medina,SOUTH CENTRAL
Menard,WEST
Midland,FAR WEST
Milam,SOUTH CENTRAL
Mills,NORTH CENTRAL
Mitchell,WEST
Montague,NORTH
Montgomery,COAST
Motley,NORTH
Nacogdoches,EAST
Navarro,NORTH CENTRAL
Nolan,WEST
Nueces,SOUTH
Palo Pinto,NORTH CENTRAL
Parker,NORTH CENTRAL
Pecos,FAR WEST
Presidio,FAR WEST
Rains,EAST
Reagan,FAR WEST
Real,WEST
Red River,NORTH
Reeves,FAR WEST
Refugio,SOUTH
Robertson,EAST
Rockwall,NORTH CENTRAL
Runnels,WEST
Rusk,EAST
San Patricio,SOUTH
San Saba,WEST
Schleicher,WEST
Scurry,WEST
Shackelford,NORTH CENTRAL
Smith,EAST
Somervell,NORTH CENTRAL
Starr,SOUTH
Stephens,NORTH CENTRAL
Sterling,WEST
Stonewall,NORTH
Sutton,WEST
Tarrant,NORTH CENTRAL
Taylor,WEST
Terrell,FAR WEST
Throckmorton,NORTH CENTRAL
Titus,EAST
Tom Green,WEST
Travis,SOUTH CENTRAL
Upton,FAR WEST
Uvalde,WEST
Val Verde,WEST
Van Zandt,EAST
Victoria,COAST
Waller,COAST
Ward,FAR WEST
Washington,SOUTH CENTRAL
Webb,SOUTH
Wharton,COAST
Wichita,NORTH
Wilbarger,NORTH
Willacy,SOUTH
Williamson,SOUTH CENTRAL
Wilson,SOUTH CENTRAL
Winkler,FAR WEST
Wise,NORTH CENTRAL
Young,NORTH CENTRAL
Zapata,SOUTH
Zavala,SOUTH
Bailey,NORTH
Carson,NORTH
Deaf Smith,NORTH
Donley,NORTH
Jefferson,COAST
Lubbock,NORTH
Lynn,NORTH
Oldham,NORTH
Parmer,NORTH
Pittsburg,NORTH
Randall,NORTH
Roberts,NORTH